UID,Title,Rank,Stream type,Episodes,Start date,End date,Members,Score
84,Death Note,84,TV ,37.0,Oct 2006 , Jun 2007,"3,935,452 ",8.62
85,Haikyuu!! Second Season,85,TV ,25.0,Oct 2015 , Mar 2016,"1,444,751 ",8.62
86,Ping Pong the Animation,86,TV ,11.0,Apr 2014 , Jun 2014,"398,143 ",8.62
87,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,87,Movie ,1.0,Jan 2020 , Jan 2020,"470,162 ",8.61
88,Natsume Yuujinchou Roku,88,TV ,11.0,Apr 2017 , Jun 2017,"188,122 ",8.61
89,Dungeon Meshi,89,TV ,24.0,Jan 2024 , Jun 2024,"305,255 ",8.61
90,Cyberpunk: Edgerunners,90,ONA ,10.0,Sep 2022 , Sep 2022,"771,912 ",8.60
91,Hajime no Ippo: Rising,91,TV ,25.0,Oct 2013 , Mar 2014,"263,803 ",8.60
92,Suzumiya Haruhi no Shoushitsu,92,Movie ,1.0,Feb 2010 , Feb 2010,"614,062 ",8.60
93,Jujutsu Kaisen,93,TV ,24.0,Oct 2020 , Mar 2021,"2,589,919 ",8.60
94,Kenpuu Denki Berserk,94,TV ,25.0,Oct 1997 , Apr 1998,"670,145 ",8.59
95,Mushishi Zoku Shou: Suzu no Shizuku,95,Movie ,1.0,May 2015 , May 2015,"130,156 ",8.59
96,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,96,Movie ,1.0,Jun 2019 , Jun 2019,"719,888 ",8.59
97,Shin Evangelion Movie:||,97,Movie ,1.0,Mar 2021 , Mar 2021,"379,563 ",8.59
98,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,98,Movie ,1.0,Apr 2009 , Apr 2009,"219,129 ",8.58
99,Kimetsu no Yaiba Movie: Mugen Ressha-hen,99,Movie ,1.0,Oct 2020 , Oct 2020,"1,564,434 ",8.58
100,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,100,TV ,39.0,Oct 2018 , Jul 2019,"1,037,307 ",8.57
101,Kizumonogatari II: Nekketsu-hen,101,Movie ,1.0,Aug 2016 , Aug 2016,"449,490 ",8.57
102,Natsume Yuujinchou San,102,TV ,13.0,Jul 2011 , Sep 2011,"254,662 ",8.57
103,Ookami Kodomo no Ame to Yuki,103,Movie ,1.0,Jul 2012 , Jul 2012,"819,355 ",8.57
104,Natsume Yuujinchou Go,104,TV ,11.0,Oct 2016 , Dec 2016,"188,357 ",8.56
105,Doupo Cangqiong: San Nian Zhi Yue,105,ONA ,13.0,Oct 2021 , Jan 2022,"7,535 ",8.56
106,Shouwa Genroku Rakugo Shinjuu,106,TV ,13.0,Jan 2016 , Apr 2016,"293,714 ",8.56
107,Shingeki no Kyojin,107,TV ,25.0,Apr 2013 , Sep 2013,"3,980,987 ",8.55
108,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",108,Movie ,1.0,Jul 1997 , Jul 1997,"942,157 ",8.55
109,Yojouhan Shinwa Taikei,109,TV ,11.0,Apr 2010 , Jul 2010,"455,297 ",8.55
110,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,110,ONA ,14.0,Dec 2022 , Dec 2022,"210,689 ",8.55
111,Kimi no Suizou wo Tabetai,111,Movie ,1.0,Sep 2018 , Sep 2018,"979,853 ",8.55
112,Nana,112,TV ,47.0,Apr 2006 , Mar 2007,"680,027 ",8.55
113,Perfect Blue,113,Movie ,1.0,Feb 1998 , Feb 1998,"720,174 ",8.55
114,Haikyuu!! To the Top Part 2,114,TV ,12.0,Oct 2020 , Dec 2020,"828,475 ",8.55
115,Fate/Zero 2nd Season,115,TV ,12.0,Apr 2012 , Jun 2012,"1,124,313 ",8.54
116,Fruits Basket 2nd Season,116,TV ,25.0,Apr 2020 , Sep 2020,"518,849 ",8.54
117,Slam Dunk,117,TV ,101.0,Oct 1993 , Mar 1996,"304,586 ",8.54
118,Zoku Natsume Yuujinchou,118,TV ,13.0,Jan 2009 , Mar 2009,"250,037 ",8.54
119,Steins;Gate 0,119,TV ,23.0,Apr 2018 , Sep 2018,"879,014 ",8.53
120,Mushishi: Hihamukage,120,TV Special ,1.0,Jan 2014 , Jan 2014,"141,171 ",8.53
121,Kara no Kyoukai Movie 5: Mujun Rasen,121,Movie ,1.0,Aug 2008 , Aug 2008,"240,486 ",8.52
122,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,122,TV ,26.0,Jan 2004 , Jan 2005,"228,885 ",8.52
123,Bakuman. 3rd Season,123,TV ,25.0,Oct 2012 , Mar 2013,"332,109 ",8.52
124,Gintama Movie 1: Shinyaku Benizakura-hen,124,Movie ,1.0,Apr 2010 , Apr 2010,"165,730 ",8.52
125,Gintama.: Porori-hen,125,TV ,13.0,Oct 2017 , Dec 2017,"203,765 ",8.52
126,Hotaru no Haka,126,Movie ,1.0,Apr 1988 , Apr 1988,"683,901 ",8.52
127,Shingeki no Kyojin Season 2,127,TV ,12.0,Apr 2017 , Jun 2017,"2,746,518 ",8.52
128,Shoujo☆Kageki Revue Starlight Movie,128,Movie ,1.0,Jun 2021 , Jun 2021,"20,403 ",8.52
129,Spy x Family,129,TV ,12.0,Apr 2022 , Jun 2022,"1,587,143 ",8.52
130,Yuru Camp△ Season 2,130,TV ,13.0,Jan 2021 , Apr 2021,"228,600 ",8.52
131,Sora yori mo Tooi Basho,131,TV ,13.0,Jan 2018 , Mar 2018,"509,120 ",8.51
132,Ousama Ranking,132,TV ,23.0,Oct 2021 , Mar 2022,"654,412 ",8.51
133,Samurai Champloo,133,TV ,26.0,May 2004 , Mar 2005,"1,249,760 ",8.51
134,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,134,TV ,39.0,Apr 2016 , Dec 2016,"1,136,336 ",8.50
135,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,135,TV ,12.0,Apr 2024 , Jul 2024,"347,230 ",8.50
136,Tian Guan Cifu Special,136,ONA ,1.0,Feb 2021 , Feb 2021,"50,200 ",8.50
137,Chainsaw Man,137,TV ,12.0,Oct 2022 , Dec 2022,"1,552,791 ",8.50
138,Mob Psycho 100,138,TV ,12.0,Jul 2016 , Sep 2016,"2,097,080 ",8.49
139,One Punch Man,139,TV ,12.0,Oct 2015 , Dec 2015,"3,246,628 ",8.49
140,Yakusoku no Neverland,140,TV ,12.0,Jan 2019 , Mar 2019,"1,985,378 ",8.49
141,Summertime Render,141,TV ,25.0,Apr 2022 , Sep 2022,"541,464 ",8.48
142,Uchuu Kyoudai,142,TV ,99.0,Apr 2012 , Mar 2014,"196,125 ",8.48
143,Ansatsu Kyoushitsu 2nd Season,143,TV ,25.0,Jan 2016 , Jul 2016,"1,446,734 ",8.48
144,Aria the Origination,144,TV ,13.0,Jan 2008 , Apr 2008,"130,770 ",8.48
145,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,145,Movie ,1.0,Jan 2019 , Jan 2019,"393,306 ",8.48
146,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,146,Movie ,1.0,Oct 2013 , Oct 2013,"383,769 ",8.48
147,Pluto,147,ONA ,8.0,Oct 2023 , Oct 2023,"166,718 ",8.48
148,Rainbow: Nisha Rokubou no Shichinin,148,TV ,26.0,Apr 2010 , Sep 2010,"398,912 ",8.47
149,Banana Fish,149,TV ,24.0,Jul 2018 , Dec 2018,"873,975 ",8.47
150,Girls Band Cry,150,TV ,13.0,Apr 2024 , Jun 2024,"62,174 ",8.47
151,Chihayafuru 3,151,TV ,24.0,Oct 2019 , Mar 2020,"143,022 ",8.46
152,Gintama: The Semi-Final,152,Special ,2.0,Jan 2021 , Jan 2021,"78,929 ",8.46
153,Yuu☆Yuu☆Hakusho,153,TV ,112.0,Oct 1992 , Jan 1995,"696,460 ",8.46
154,Karakai Jouzu no Takagi-san Movie,154,Movie ,1.0,Jun 2022 , Jun 2022,"76,453 ",8.46
155,Kimetsu no Yaiba,155,TV ,26.0,Apr 2019 , Sep 2019,"3,068,804 ",8.46
156,Mo Dao Zu Shi,156,ONA ,15.0,Jul 2018 , Oct 2018,"233,411 ",8.46
157,Mo Dao Zu Shi: Xian Yun Pian,157,ONA ,8.0,Aug 2019 , Sep 2019,"106,958 ",8.46
158,Nichijou,158,TV ,26.0,Apr 2011 , Sep 2011,"905,196 ",8.46
159,Owarimonogatari,159,TV ,12.0,Oct 2015 , Dec 2015,"481,434 ",8.45
160,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,160,Movie ,1.0,Apr 2013 , Apr 2013,"599,057 ",8.45
161,Zoku Owarimonogatari,161,TV ,6.0,May 2019 , Jun 2019,"229,241 ",8.44
162,"""Oshi no Ko"" 2nd Season",162,TV ,13.0,Jul 2024 ,,"249,279 ",8.44
163,Bungou Stray Dogs 4th Season,163,TV ,13.0,Jan 2023 , Mar 2023,"295,444 ",8.44
164,Golden Kamuy 3rd Season,164,TV ,12.0,Oct 2020 , Dec 2020,"172,310 ",8.44
165,Haikyuu!!,165,TV ,25.0,Apr 2014 , Sep 2014,"1,991,169 ",8.44
166,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,166,TV ,24.0,Jan 2015 , Jun 2015,"1,125,974 ",8.44
167,Jujutsu Kaisen 0 Movie,167,Movie ,1.0,Dec 2021 , Dec 2021,"980,870 ",8.44
168,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,168,Movie ,1.0,Aug 2019 , Aug 2019,"795,196 ",8.43
169,Mushishi Zoku Shou: Odoro no Michi,169,TV Special ,1.0,Aug 2014 , Aug 2014,"102,461 ",8.43
170,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,170,TV ,12.0,Jan 2021 , Mar 2021,"900,874 ",8.43
171,Wu Liuqi: Xuanwu Guo Pian,171,ONA ,10.0,Jan 2021 , May 2021,"65,051 ",8.43
172,Gintama: Yorinuki Gintama-san on Theater 2D,172,Movie ,2.0,Aug 2012 , Aug 2012,"44,801 ",8.43
173,Grand Blue,173,TV ,12.0,Jul 2018 , Sep 2018,"788,859 ",8.43
174,Hunter x Hunter,174,TV ,62.0,Oct 1999 , Mar 2001,"597,191 ",8.42
175,Kono Oto Tomare! Part 2,175,TV ,13.0,Oct 2019 , Dec 2019,"180,365 ",8.42
176,Kono Subarashii Sekai ni Shukufuku wo! 3,176,TV ,11.0,Apr 2024 , Jun 2024,"394,702 ",8.42
177,Koukaku Kidoutai: Stand Alone Complex,177,TV ,26.0,Oct 2002 , Oct 2003,"399,807 ",8.42
178,Mononoke,178,TV ,12.0,Jul 2007 , Sep 2007,"332,149 ",8.42
179,Saenai Heroine no Sodatekata Fine,179,Movie ,1.0,Oct 2019 , Oct 2019,"185,692 ",8.42
180,Shingeki no Kyojin: Kuinaki Sentaku,180,OVA ,2.0,Dec 2014 , Apr 2015,"522,737 ",8.42
181,Tian Guan Cifu,181,ONA ,11.0,Oct 2020 , Jan 2021,"149,093 ",8.42
182,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,182,Movie ,1.0,Sep 2019 , Sep 2019,"429,194 ",8.41
183,Yuru Camp△ Movie,183,Movie ,1.0,Jul 2022 , Jul 2022,"81,591 ",8.41
184,Natsume Yuujinchou Movie: Utsusemi ni Musubu,184,Movie ,1.0,Sep 2018 , Sep 2018,"73,679 ",8.41
185,Saiki Kusuo no Ψ-nan,185,TV ,120.0,Jul 2016 , Dec 2016,"1,116,165 ",8.41
186,Saiki Kusuo no Ψ-nan 2,186,TV ,24.0,Jan 2018 , Jun 2018,"649,364 ",8.41
187,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,187,TV ,12.0,Jan 2019 , Mar 2019,"1,756,205 ",8.40
188,Kamisama Hajimemashita: Kako-hen,188,OVA ,4.0,Aug 2015 , Aug 2016,"169,862 ",8.40
189,Karakai Jouzu no Takagi-san 3,189,TV ,12.0,Jan 2022 , Mar 2022,"189,111 ",8.40
190,Major S5,190,TV ,25.0,Jan 2009 , Jun 2009,"71,639 ",8.40
191,Natsume Yuujinchou Roku Specials,191,Special ,2.0,Sep 2017 , Oct 2017,"47,921 ",8.40
192,Fruits Basket: Prelude,192,Movie ,1.0,Feb 2022 , Feb 2022,"109,938 ",8.40
193,Gintama°: Aizome Kaori-hen,193,OVA ,2.0,Aug 2016 , Nov 2016,"86,557 ",8.39
194,Houseki no Kuni,194,TV ,12.0,Oct 2017 , Dec 2017,"467,358 ",8.39
195,Josee to Tora to Sakana-tachi,195,Movie ,1.0,Dec 2020 , Dec 2020,"434,913 ",8.39
196,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,196,Movie ,1.0,Feb 2018 , Feb 2018,"439,094 ",8.39
197,Vivy: Fluorite Eye's Song,197,TV ,13.0,Apr 2021 , Jun 2021,"543,767 ",8.39
198,Chihayafuru 2,198,TV ,25.0,Jan 2013 , Jun 2013,"237,707 ",8.38
199,Cowboy Bebop: Tengoku no Tobira,199,Movie ,1.0,Sep 2001 , Sep 2001,"381,803 ",8.38
200,Doupo Cangqiong: Nian Fan,200,ONA ,104.0,Jul 2022 ,,"7,204 ",8.38
201,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),201,Movie ,1.0,Aug 2009 , Aug 2009,"208,587 ",8.38
202,Kaze ga Tsuyoku Fuiteiru,202,TV ,23.0,Oct 2018 , Mar 2019,"304,128 ",8.38
203,Made in Abyss Movie 2: Hourou Suru Tasogare,203,Movie ,1.0,Jan 2019 , Jan 2019,"140,890 ",8.37
204,Mahou Shoujo Madoka★Magica,204,TV ,12.0,Jan 2011 , Apr 2011,"1,300,264 ",8.37
205,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,205,Movie ,1.0,Oct 2012 , Oct 2012,"205,187 ",8.37
206,Mushoku Tensei: Isekai Ittara Honki Dasu,206,TV ,11.0,Jan 2021 , Mar 2021,"1,346,200 ",8.37
207,Non Non Biyori Nonstop,207,TV ,12.0,Jan 2021 , Mar 2021,"126,463 ",8.37
208,Ramayana: The Legend of Prince Rama,208,Movie ,1.0,Jan 1993 , Jan 1993,"11,596 ",8.37
209,Tensei shitara Slime Datta Ken 2nd Season,209,TV ,12.0,Jan 2021 , Mar 2021,"974,547 ",8.37
210,3-gatsu no Lion,210,TV ,22.0,Oct 2016 , Mar 2017,"683,773 ",8.37
211,Barakamon,211,TV ,12.0,Jul 2014 , Sep 2014,"668,130 ",8.37
212,Blue Giant,212,Movie ,1.0,Feb 2023 , Feb 2023,"27,611 ",8.37
213,Cross Game,213,TV ,50.0,Apr 2009 , Mar 2010,"125,458 ",8.37
214,Baccano!,214,TV ,13.0,Jul 2007 , Nov 2007,"910,840 ",8.36
215,Haikyuu!! To the Top,215,TV ,13.0,Jan 2020 , Apr 2020,"950,418 ",8.36
216,Kimetsu no Yaiba: Mugen Ressha-hen,216,TV ,7.0,Oct 2021 , Nov 2021,"777,825 ",8.36
217,Kizumonogatari I: Tekketsu-hen,217,Movie ,1.0,Jan 2016 , Jan 2016,"535,069 ",8.36
218,Wu Shan Wu Xing: Xichuan Huan Zi Lin,218,ONA ,4.0,Jul 2023 , Aug 2023,"12,646 ",8.36
219,Shinseiki Evangelion,219,TV ,26.0,Oct 1995 , Mar 1996,"1,836,100 ",8.35
220,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,220,TV ,12.0,Jul 2020 , Sep 2020,"737,731 ",8.35
221,Gintama: Shiroyasha Koutan,221,Special ,1.0,Sep 2008 , Sep 2008,"70,822 ",8.35
222,Hellsing Ultimate,222,OVA ,10.0,Feb 2006 , Dec 2012,"939,042 ",8.35
223,Initial D First Stage,223,TV ,26.0,Apr 1998 , Dec 1998,"389,175 ",8.35
224,K-On! Movie,224,Movie ,1.0,Dec 2011 , Dec 2011,"333,840 ",8.35
225,Kage no Jitsuryokusha ni Naritakute! 2nd Season,225,TV ,12.0,Oct 2023 , Dec 2023,"369,636 ",8.35
226,Kaijuu 8-gou,226,TV ,12.0,Apr 2024 , Jun 2024,"366,041 ",8.35
227,Kaze no Tani no Nausicaä,227,Movie ,1.0,Mar 1984 , Mar 1984,"381,629 ",8.35
228,Meitantei Conan Movie 26: Kurogane no Submarine,228,Movie ,1.0,Apr 2023 , Apr 2023,"12,808 ",8.35
229,Tunshi Xingkong 3rd Season,229,ONA ,33.0,Sep 2022 , Apr 2023,"2,164 ",8.34
230,Usagi Drop,230,TV ,11.0,Jul 2011 , Sep 2011,"499,144 ",8.34
231,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",231,Special ,1.0,Jul 2018 , Jul 2018,"336,241 ",8.34
232,Bakuman. 2nd Season,232,TV ,25.0,Oct 2011 , Mar 2012,"355,710 ",8.34
233,Fumetsu no Anata e,233,TV ,20.0,Apr 2021 , Aug 2021,"879,906 ",8.34
234,Girls & Panzer: Saishuushou Part 4,234,Movie ,1.0,Oct 2023 , Oct 2023,"17,326 ",8.34
235,Dr. Stone: New World Part 2,235,TV ,11.0,Oct 2023 , Dec 2023,"282,500 ",8.33
236,IDOLiSH7 Third Beat! Part 2,236,TV ,17.0,Oct 2022 , Feb 2023,"14,558 ",8.33
237,Kidou Senshi Gundam: The Origin,237,OVA ,6.0,Feb 2015 , May 2018,"75,157 ",8.33
238,Kiseijuu: Sei no Kakuritsu,238,TV ,24.0,Oct 2014 , Mar 2015,"1,887,488 ",8.33
239,Natsume Yuujinchou: Itsuka Yuki no Hi ni,239,OVA ,1.0,Feb 2014 , Feb 2014,"80,899 ",8.33
240,One Outs,240,TV ,25.0,Oct 2008 , Apr 2009,"240,912 ",8.33
241,Psycho-Pass,241,TV ,22.0,Oct 2012 , Mar 2013,"1,644,298 ",8.33
242,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,242,TV ,13.0,Jul 2020 , Sep 2020,"1,118,611 ",8.33
243,Versailles no Bara,243,TV ,40.0,Oct 1979 , Sep 1980,"100,057 ",8.33
244,Tensei shitara Slime Datta Ken 2nd Season Part 2,244,TV ,12.0,Jul 2021 , Sep 2021,"778,407 ",8.32
245,Uchuu Senkan Yamato 2199,245,OVA ,26.0,May 2012 , Oct 2013,"116,463 ",8.32
246,Bakemonogatari,246,TV ,15.0,Jul 2009 , Jun 2010,"1,408,208 ",8.32
247,Douluo Dalu 2nd Season,247,ONA ,237.0,Dec 2018 , Jun 2023,"20,570 ",8.32
248,Fate/stay night: Unlimited Blade Works 2nd Season,248,TV ,13.0,Apr 2015 , Jun 2015,"859,950 ",8.32
249,Hibike! Euphonium 2,249,TV ,13.0,Oct 2016 , Dec 2016,"235,272 ",8.32
250,Major S6,250,TV ,25.0,Apr 2010 , Sep 2010,"63,490 ",8.32
